f[Hz]	Sxx[m^2/Hz]
36.9	5.7122E-20
37	6.50479E-20
37.1	4.54098E-20
37.2	5.27849E-20
37.3	2.67311E-20
37.4	3.83373E-20
37.5	7.75203E-20
37.6	5.13404E-20
37.7	1.44688E-19
37.8	5.18675E-20
37.9	7.8293E-20
38	3.97567E-20
38.1	7.15506E-20
38.2	8.34053E-20
38.3	5.2936E-20
38.4	9.04047E-20
38.5	5.68639E-20
38.6	4.67828E-20
38.7	3.27529E-20
38.8	1.08443E-19
38.9	6.33458E-20
39	3.53834E-20
39.1	5.93849E-20
39.2	5.48134E-20
39.3	6.47196E-20
39.4	5.28113E-20
39.5	7.86681E-20
39.6	6.40843E-20
39.7	3.36544E-20
39.8	5.63902E-20
39.9	7.50585E-20
40	8.17725E-20
40.1	8.50768E-20
40.2	6.39581E-20
40.3	4.47317E-20
40.4	1.16015E-19
40.5	5.8934E-20
40.6	6.8354E-20
40.7	1.25407E-19
40.8	5.1201E-20
40.9	4.7219E-20
41	6.88192E-20
41.1	1.18191E-19
41.2	5.03329E-20
41.3	7.21178E-20
41.4	1.03547E-19
41.5	3.315E-20
41.6	7.28591E-20
41.7	5.94985E-20
41.8	6.04992E-20
41.9	1.14794E-19
42	1.01362E-19
42.1	4.84377E-20
42.2	8.06132E-20
42.3	8.26871E-20
42.4	3.58588E-20
42.5	4.47361E-20
42.6	1.15062E-19
42.7	7.16856E-20
42.8	1.23351E-19
42.9	7.19694E-20
43	7.51258E-20
43.1	7.16877E-20
43.2	5.02986E-20
43.3	7.3434E-20
43.4	4.16997E-20
43.5	8.10363E-20
43.6	5.87927E-20
43.7	4.6297E-20
43.8	4.89934E-20
43.9	4.6229E-20
44	6.95088E-20
44.1	6.40657E-20
44.2	4.54885E-20
44.3	4.86043E-20
44.4	5.93909E-20
44.5	1.0752E-19
44.6	6.46155E-20
44.7	4.90713E-20
44.8	5.5952E-20
44.9	7.80166E-20
45	1.0276E-19
45.1	4.45329E-20
45.2	6.24903E-20
45.3	6.70049E-20
45.4	9.36825E-20
45.5	3.35385E-20
45.6	3.6937E-20
45.7	5.9748E-20
45.8	5.09379E-20
45.9	7.21585E-20
46	8.33064E-20
46.1	6.30989E-20
46.2	8.12287E-20
46.3	7.78603E-20
46.4	5.8245E-20
46.5	6.99789E-20
46.6	4.62403E-20
46.7	7.36983E-20
46.8	5.14355E-20
46.9	9.02951E-20
47	8.93084E-20
47.1	6.69292E-20
47.2	7.48403E-20
47.3	6.79497E-20
47.4	7.02564E-20
47.5	4.22184E-20
47.6	3.14509E-20
47.7	1.04298E-19
47.8	5.13721E-20
47.9	4.17458E-20
48	9.94509E-20
48.1	5.67434E-20
48.2	7.79744E-20
48.3	6.97858E-20
48.4	5.51937E-20
48.5	8.28134E-20
48.6	7.74737E-20
48.7	8.06252E-20
48.8	3.98508E-20
48.9	1.08535E-19
49	1.17547E-19
49.1	7.15013E-20
49.2	7.49075E-20
49.3	4.22737E-20
49.4	6.21388E-20
49.5	6.42998E-20
49.6	7.11519E-20
49.7	1.07322E-19
49.8	4.55897E-20
49.9	7.15772E-20
50	8.42054E-20
50.1	4.08961E-20
50.2	3.36501E-20
50.3	9.58448E-20
50.4	1.12848E-19
50.5	5.56731E-20
50.6	8.96248E-20
50.7	1.013E-19
50.8	4.74326E-20
50.9	8.08711E-20
51	5.8652E-20
51.1	4.15623E-20
51.2	5.52713E-20
51.3	5.12172E-20
51.4	7.65719E-20
51.5	1.09166E-19
51.6	2.97929E-20
51.7	7.48765E-20
51.8	5.19441E-20
51.9	4.06194E-20
52	9.20959E-20
52.1	1.27745E-19
52.2	8.02717E-20
52.3	4.02111E-20
52.4	6.8015E-20
52.5	7.61537E-20
52.6	6.23495E-20
52.7	5.97795E-20
52.8	7.40379E-20
52.9	4.8528E-20
53	8.19472E-20
53.1	7.67555E-20
53.2	3.80635E-20
53.3	5.65028E-20
53.4	1.1099E-19
53.5	4.33404E-20
53.6	6.36696E-20
53.7	6.88848E-20
53.8	6.72265E-20
53.9	1.19759E-19
54	3.17654E-20
54.1	1.28083E-19
54.2	3.86791E-20
54.3	5.27062E-20
54.4	5.38981E-20
54.5	8.59619E-20
54.6	8.96294E-20
54.7	5.27694E-20
54.8	3.53218E-20
54.9	6.34782E-20
55	1.15221E-19
55.1	4.86521E-20
55.2	6.50718E-20
55.3	8.17779E-20
55.4	6.90732E-20
55.5	5.86572E-20
55.6	1.04906E-19
55.7	6.79924E-20
55.8	9.98231E-20
55.9	1.57797E-19
56	7.06453E-20
56.1	6.08609E-20
56.2	5.39515E-20
56.3	5.3675E-20
56.4	8.60645E-20
56.5	5.33179E-20
56.6	9.01476E-20
56.7	7.53204E-20
56.8	1.09368E-19
56.9	6.16992E-20
57	6.25186E-20
57.1	1.35208E-19
57.2	7.71084E-20
57.3	9.01476E-20
57.4	7.85514E-20
57.5	6.39585E-20
57.6	9.39199E-20
57.7	1.11552E-19
57.8	8.14072E-20
57.9	1.39661E-19
58	5.81711E-20
58.1	7.20338E-20
58.2	8.58768E-20
58.3	9.48362E-20
58.4	9.65335E-20
58.5	7.82465E-20
58.6	1.05919E-19
58.7	1.03923E-19
58.8	7.51306E-20
58.9	8.46781E-20
59	1.06545E-19
59.1	1.10181E-19
59.2	4.06771E-20
59.3	6.2251E-20
59.4	1.20512E-19
59.5	5.22102E-20
59.6	9.05984E-20
59.7	6.47682E-20
59.8	5.34653E-20
59.9	6.01279E-20
60	4.95441E-20
60.1	1.14126E-19
60.2	8.04994E-20
60.3	5.60002E-20
60.4	4.93946E-20
60.5	7.03646E-20
60.6	7.65066E-20
60.7	1.08163E-19
60.8	3.6509E-20
60.9	5.28724E-20
61	9.37885E-20
61.1	5.04018E-20
61.2	5.45507E-20
61.3	5.55367E-20
61.4	1.11422E-19
61.5	9.60039E-20
61.6	6.21519E-20
61.7	3.41197E-20
61.8	6.6573E-20
61.9	1.15783E-19
62	5.95336E-20
62.1	1.07558E-19
62.2	7.13803E-20
62.3	6.03917E-20
62.4	6.4959E-20
62.5	1.0297E-19
62.6	7.9604E-20
62.7	8.06518E-20
62.8	9.20677E-20
62.9	2.38783E-20
63	2.9689E-20
63.1	3.73842E-20
63.2	5.99996E-20
63.3	6.63381E-20
63.4	8.57017E-20
63.5	5.68987E-20
63.6	6.41984E-20
63.7	6.59588E-20
63.8	5.84517E-20
63.9	4.42984E-20
64	5.81447E-20
64.1	4.00056E-20
64.2	6.04459E-20
64.3	1.05498E-19
64.4	7.00179E-20
64.5	9.19874E-20
64.6	7.34357E-20
64.7	7.22573E-20
64.8	8.88857E-20
64.9	5.64231E-20
65	5.11898E-20
65.1	8.82354E-20
65.2	7.83626E-20
65.3	5.74506E-20
65.4	1.16524E-19
65.5	7.93858E-20
65.6	8.37654E-20
65.7	1.3447E-19
65.8	6.30847E-20
65.9	3.3216E-20
66	6.98367E-20
66.1	1.1174E-19
66.2	6.10534E-20
66.3	6.12101E-20
66.4	6.04809E-20
66.5	8.47491E-20
66.6	7.93983E-20
66.7	9.59412E-20
66.8	3.62054E-20
66.9	7.82607E-20
67	9.17675E-20
67.1	6.26145E-20
67.2	6.30262E-20
67.3	1.96914E-20
67.4	4.47934E-20
67.5	3.36472E-20
67.6	5.45741E-20
67.7	5.84754E-20
67.8	7.00661E-20
67.9	7.99913E-20
68	6.36682E-20
68.1	5.60623E-20
68.2	3.9078E-20
68.3	4.71356E-20
68.4	5.57384E-20
68.5	4.75456E-20
68.6	3.84709E-20
68.7	1.0271E-19
68.8	9.39764E-20
68.9	1.08106E-19
69	6.35877E-20
69.1	2.85216E-20
69.2	1.2857E-19
69.3	7.50216E-20
69.4	4.25399E-20
69.5	7.59003E-20
69.6	7.2395E-20
69.7	8.03043E-20
69.8	5.03066E-20
69.9	1.01781E-19
70	4.68446E-20
70.1	6.76778E-20
70.2	6.40653E-20
70.3	8.9962E-20
70.4	1.22153E-19
70.5	7.41736E-20
70.6	6.66353E-20
70.7	8.46305E-20
70.8	7.2707E-20
70.9	7.01338E-20
71	8.73533E-20
71.1	6.71306E-20
71.2	1.17495E-19
71.3	6.59148E-20
71.4	1.02879E-19
71.5	6.40734E-20
71.6	7.07283E-20
71.7	8.82039E-20
71.8	9.58794E-20
71.9	6.01217E-20
72	8.25992E-20
72.1	2.93764E-20
72.2	6.68761E-20
72.3	6.13875E-20
72.4	1.05212E-19
72.5	7.42823E-20
72.6	8.0964E-20
72.7	8.52305E-20
72.8	6.76852E-20
72.9	6.66454E-20
73	6.75525E-20
73.1	5.02439E-20
73.2	4.89123E-20
73.3	4.49694E-20
73.4	6.59759E-20
73.5	6.66752E-20
73.6	8.48295E-20
73.7	4.03782E-20
73.8	1.08567E-19
73.9	4.86936E-20
74	5.68657E-20
74.1	1.01648E-19
74.2	9.43361E-20
74.3	1.04463E-19
74.4	3.43771E-20
74.5	5.79727E-20
74.6	2.24255E-20
74.7	6.23358E-20
74.8	1.18112E-19
74.9	5.863E-20
75	8.88353E-20
75.1	3.07781E-20
75.2	8.31332E-20
75.3	3.80424E-20
75.4	9.81186E-20
75.5	6.35619E-20
75.6	8.35613E-20
75.7	4.84132E-20
75.8	9.77527E-20
75.9	1.3171E-19
76	8.34074E-20
76.1	6.2593E-20
76.2	5.41775E-20
76.3	9.44183E-20
76.4	9.86225E-20
76.5	3.50373E-20
76.6	6.50522E-20
76.7	9.23847E-20
76.8	7.47472E-20
76.9	1.18411E-19
77	1.07749E-19
77.1	6.42406E-20
77.2	5.13348E-20
77.3	5.13214E-20
77.4	5.28987E-20
77.5	1.03074E-19
77.6	6.12721E-20
77.7	7.46943E-20
77.8	6.66161E-20
77.9	5.88588E-20
78	3.74298E-20
78.1	3.24129E-20
78.2	6.94553E-20
78.3	7.74752E-20
78.4	1.19801E-19
78.5	5.44488E-20
78.6	7.26831E-20
78.7	3.98874E-20
78.8	6.50887E-20
78.9	7.65221E-20
79	9.64389E-20
79.1	9.49328E-20
79.2	7.00268E-20
79.3	1.15251E-19
79.4	1.24051E-19
79.5	5.22867E-20
79.6	3.36756E-20
79.7	3.73482E-20
79.8	2.97582E-20
79.9	8.76346E-20
80	4.52412E-20
80.1	5.0073E-20
80.2	8.08423E-20
80.3	7.56984E-20
80.4	5.32408E-20
80.5	8.47457E-20
80.6	5.94154E-20
80.7	6.80968E-20
80.8	9.73765E-20
80.9	4.43144E-20
81	7.28468E-20
81.1	6.59851E-20
81.2	8.50228E-20
81.3	8.81508E-20
81.4	5.60683E-20
81.5	6.91925E-20
81.6	5.60145E-20
81.7	5.72233E-20
81.8	8.48778E-20
81.9	4.73633E-20
82	1.09475E-19
82.1	6.65058E-20
82.2	6.38695E-20
82.3	5.58704E-20
82.4	8.02076E-20
82.5	6.00666E-20
82.6	5.59521E-20
82.7	6.56712E-20
82.8	7.2031E-20
82.9	5.80784E-20
83	9.00474E-20
83.1	7.71501E-20
83.2	3.18583E-20
83.3	7.86048E-20
83.4	6.25714E-20
83.5	3.52034E-20
83.6	5.38431E-20
83.7	5.44282E-20
83.8	4.55975E-20
83.9	5.08616E-20
84	6.99286E-20
84.1	8.90067E-20
84.2	5.68345E-20
84.3	7.06965E-20
84.4	5.6903E-20
84.5	5.45648E-20
84.6	7.82632E-20
84.7	4.03791E-20
